Name,Team,Number,Year
,,67,1952
,,68,1952
,,69,1952
,,70,1952
,,71,1952
,,72,1952
,,73,1952
,,74,1952
,,75,1952
,,76,1952
,,77,1952
,,78,1952
,,79,1952
,,80,1952
,,81,1952
,,82,1952
,,83,1952
,,84,1952
,,85,1952
,,86,1952
,,87,1952
,,88,1952
,,89,1952
,,90,1952
,,91,1952
,,92,1952
,,93,1952
,,94,1952
,,95,1952
,,96,1952
,,97,1952
,,98,1952
George Mikan,MNL,99,1952
,,0,1953
,,1,1953
,,2,1953
George King,SYR,3,1953
Andrew Levane,MLH,3,1953
Stan Miasek,MLH,3,1953
John O'Boyle,MLH,3,1953
Carl Braun,NYK,4,1953
Ray Corley,FTW,4,1953
Jerry Fleishman,PHW,4,1953
Al Masino,MLH,4,1953
Andy Phillip,FTW,4,1953
Moe Radovich,PHW,4,1953
Kenny Rollins,BOS,4,1953
Dolph Schayes,SYR,4,1953
Nelson Bobb,PHW,5,1953
Dick Groat,FTW,5,1953
Ralph Johnson,FTW,5,1953
Jack Nichols,MLH,5,1953
Sherwin Raiken,NYK,5,1953
Paul Seymour,SYR,5,1953
Paul Walther,INO,5,1953
Jake Fendley,FTW,6,1953
Neil Johnston,PHW,6,1953
Noble Jorgensen,SYR,6,1953
Johnny Payak,MLH,6,1953
Ralph Polson,NYK,6,1953
Frankie Brian,FTW,7,1953
Dillard Crocker,MLH,7,1953
Bill Gabor,SYR,7,1953
Ray Lumpp,NYK,7,1953
Jim Mooney,PHW,7,1953
Kevin O'Shea,BLB,7,1953
Andy Phillip,PHW,7,1953
Gene Rhodes,INO,7,1953
Nat Clifton,NYK,8,1953
Bob Lavoy,INO,8,1953
Ray Lumpp,BLB,8,1953
Dave Minor,MLH,8,1953
Wally Osterkorn,SYR,8,1953
Fred Schaus,FTW,8,1953
George Senesky,PHW,8,1953
Dick Bunt,BLB,9,1953
Mel Hutchins,MLH,9,1953
George Kaftan,BLB,9,1953
Don Lofgran,PHW,9,1953
Bob Priddy,BLB,9,1953
Bill Tosheff,INO,9,1953
Ernie Vandeweghe,NYK,9,1953
Bill Calhoun,MLH,10,1953
Jack Coleman,ROC,10,1953
Pete Darcey,MLH,10,1953
Joe Fulks,PHW,10,1953
Kleggie Hermsen,INO,10,1953
Jack Kiley,FTW,10,1953
George McLeod,BLB,10,1953
Ed Mikan,INO,10,1953
Bob Priddy,BLB,10,1953
George Ratkovicz,MLH,10,1953
Fred Scolari,FTW,10,1953
Max Zaslofsky,NYK,10,1953
Chuck Cooper,BOS,11,1953
Bob Davies,ROC,11,1953
Harry Gallatin,NYK,11,1953
Lew Hitch,MNL,11,1953
Paul Hoffman,BLB,11,1953
Earl Lloyd,SYR,11,1953
Vince Boryla,NYK,12,1953
Bob Donham,BOS,12,1953
Dike Eddleman,FTW,12,1953
Danny Finn,PHW,12,1953
Jim Holstein,MNL,12,1953
Arnie Johnson,ROC,12,1953
Jack Kerris,BLB,12,1953
Al Masino,MLH,12,1953
Mark Workman,PHW,12,1953
Don Boven,FTW,13,1953
Bob Harris,BOS,13,1953
Jim Holstein,MNL,13,1953
George Ratkovicz,MLH,13,1953
Bob Cousy,BOS,14,1953
Danny Finn,PHW,14,1953
Frank Kudelka,PHW,14,1953
Bob Lochmueller,SYR,14,1953
Bob Naber,INO,14,1953
Don Otten,MLH,14,1953
Claude Overton,PHW,14,1953
Andy Phillip,FTW,14,1953
Arnie Risen,ROC,14,1953
Dick Surhoff,NYK,14,1953
Jim Brasco,SYR,15,1953
Al Cervi,SYR,15,1953
Dick McGuire,NYK,15,1953
Ed Mikan,PHW,15,1953
Eddie Miller,BLB,15,1953
Ralph Polson,PHW,15,1953
Howie Schultz,MNL,15,1953
Odie Spears,ROC,15,1953
Larry Foust,FTW,16,1953
Bob Harrison,MNL,16,1953
Don Henriksen,BLB,16,1953
Red Holzman,ROC,16,1953
John Mahnken,BOS,16,1953
Alfred McGuire,NYK,16,1953
Bill Mlkvy,PHW,16,1953
Mel Payton,INO,16,1953
Red Rocha,SYR,16,1953
Don Barksdale,BLB,17,1953
Gene Conley,BOS,17,1953
Monk Meineke,FTW,17,1953
Jim Pollard,MNL,17,1953
Dick Surhoff,NYK,17,1953
Zeke Zawoluk,INO,17,1953
Jim Baechtold,BLB,18,1953
Bob Brannum,BOS,18,1953
Cal Christensen,ROC,18,1953
Don Hanrahan,INO,18,1953
Ed Mikan,INO,18,1953
Pep Saul,MNL,18,1953
Chuck Share,FTW,18,1953
Connie Simmons,NYK,18,1953
Joe Graboski,INO,19,1953
Mo Mahoney,BOS,19,1953
Vern Mikkelsen,MNL,19,1953
Leo Barnhorst,INO,20,1953
Alex Hannum,ROC,20,1953
Ralph O'Brien,BLB,20,1953
Whitey Skoog,MNL,20,1953
Bill Sharman,BOS,21,1953
Ed Macauley,BOS,22,1953
Slater Martin,MNL,22,1953
,,23,1953
,,24,1953
,,25,1953
,,26,1953
,,27,1953
,,28,1953
,,29,1953
,,30,1953
,,31,1953
,,32,1953
,,33,1953
,,34,1953
,,35,1953
,,36,1953
,,37,1953
,,38,1953
,,39,1953
,,40,1953
,,41,1953
,,42,1953
,,43,1953
,,44,1953
,,45,1953
,,46,1953
,,47,1953
,,48,1953
,,49,1953
,,50,1953
,,51,1953
,,52,1953
,,53,1953
,,54,1953
,,55,1953
,,56,1953
,,57,1953
,,58,1953
,,59,1953
,,60,1953
,,61,1953
,,62,1953
,,63,1953
,,64,1953
,,65,1953
,,66,1953
,,67,1953
,,68,1953
,,69,1953
,,70,1953
,,71,1953
,,72,1953
,,73,1953
,,74,1953
,,75,1953
,,76,1953
,,77,1953
,,78,1953
,,79,1953
,,80,1953
,,81,1953
,,82,1953
,,83,1953
,,84,1953
,,85,1953
,,86,1953
,,87,1953
,,88,1953
,,89,1953
,,90,1953
,,91,1953
,,92,1953
,,93,1953
,,94,1953
,,95,1953
,,96,1953
,,97,1953
,,98,1953
George Mikan,MNL,99,1953
,,0,1954
,,1,1954
,,2,1954
Don Ackerman,NYK,3,1954
Bill Calhoun,MLH,3,1954
George King,SYR,3,1954
Carl Braun,NYK,4,1954
Jack George,PHW,4,1954
Mel Hutchins,FTW,4,1954
Dolph Schayes,SYR,4,1954
Gene Dyker,MLH,5,1954
Jack Nichols,MLH,5,1954
Paul Seymour,SYR,5,1954
Chuck Share,MLH,5,1954
Zeke Sinicola,FTW,5,1954
Paul Walther,PHW,5,1954
Ed Earle,SYR,6,1954
Neil Johnston,PHW,6,1954
Jack Molinas,FTW,6,1954
Mike Novak,SYR,6,1954
Dick Surhoff,MLH,6,1954
Isaac Walthour,MLH,6,1954
Max Zaslofsky,FTW,6,1954
Ernie Beck,PHW,7,1954
